subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,trigger
,0,0,81,HR7 HH6,high,high,pleasure,practice,4.604168999881949,2,12.358085600018967,202
,0,0,24,LR7 MH4,low,medium,pleasure,practice,18.983747299876995,3,11.172753899998497,204
,63,15,43,Rumba Clave MR2 HH3,medium,high,pleasure,main,35.659649499866646,2,10.941938100004336,123
,61,13,34,Son Clave MR1 HH3,medium,high,pleasure,main,48.63371749987709,4,12.17581600000267,121
,87,39,70,HR3 HH3,high,high,pleasure,main,62.83017219987232,2,10.424353400012478,143
,93,45,70,HR3 HH3,high,high,pleasure,main,75.27566469987505,5,11.13901509999414,143
,81,33,68,HR3 MH2,high,medium,pleasure,main,88.43517359989346,2,10.290972099988721,133
,94,46,71,HR3 HH5,high,high,pleasure,main,100.7473725998716,2,10.456260800012387,144
,57,9,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,113.24272849987028,4,10.35513089998858,113
,58,10,42,Rumba Clave MR2 MH4,medium,medium,pleasure,main,125.61909959989134,4,10.289277100004256,114
,83,35,77,HR7 MH2,high,medium,pleasure,main,137.93025009988924,3,10.589571700023953,135
,59,11,50,Mariato Clave MR5 MH2,medium,medium,pleasure,main,150.54114969988586,4,10.589991199987708,115
,52,4,42,Rumba Clave MR2 MH4,medium,medium,pleasure,main,163.1522000998666,4,10.38855770000373,114
,86,38,62,HR1 HH5,high,high,pleasure,main,175.56235159988864,3,10.390681299992139,142
,64,16,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,187.97433489988907,4,10.005789199989522,124
,74,26,60,HR1 MH4,high,medium,pleasure,main,200.00174539987347,4,11.554921400005696,132
,51,3,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,213.57822159989155,4,10.390622200007783,113
,79,31,59,HR1 MH2,high,medium,pleasure,main,225.99114179986645,5,11.888673800014658,131
,89,41,79,HR7 HH3,high,high,pleasure,main,239.9002466998645,3,10.290007800009334,145
,65,17,52,Mariato Clave MR5 HH3,medium,high,pleasure,main,252.2118315998814,4,10.572847700008424,125
,49,1,32,Son Clave MR1 MH2,medium,medium,pleasure,main,264.80579049987136,5,10.573152299999492,111
,91,43,61,HR1 HH3,high,high,pleasure,main,277.39950229987153,3,10.39061390000279,141
,55,7,32,Son Clave MR1 MH2,medium,medium,pleasure,main,289.8110510998813,5,10.423114800010808,111
,95,47,79,HR7 HH3,high,high,pleasure,main,302.25563879989204,3,10.2398600000015,145
,68,20,35,Son Clave MR1 HH5,medium,high,pleasure,main,314.51639169987175,3,10.323253499984276,122
,70,22,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,326.86159989988664,4,10.323281200020574,124
