1.3983 	WARNING 	Speech-to-text recognition module not available (use command `pip install SpeechRecognition` to get it. Transcription will be unavailable.
1.5502 	WARNING 	Could not initiate port: [Errno 2] No such file or directory: '/dev/parport0'
24.1270 	WARNING 	Monitor specification not found. Creating a temporary one...
24.1446 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1366, 768]. Using actual size
7.0928 	DATA 	Keypress: space
10.5785 	DATA 	Keypress: space
10.5830 	EXP 	unnamed TextStim: text = 'trial 1 / 2'
12.5868 	EXP 	Sound  started
23.9161 	DATA 	Keypress: 3
23.9320 	EXP 	unnamed TextStim: text = 'trial 2 / 2'
25.9357 	EXP 	Sound  started
37.1003 	DATA 	Keypress: 4
40.0835 	DATA 	Keypress: space
40.0880 	EXP 	unnamed TextStim: text = 'trial 1 / 48'
42.0916 	EXP 	Sound  started
52.4471 	DATA 	Keypress: 4
52.4633 	EXP 	unnamed TextStim: text = 'trial 2 / 48'
53.2649 	DATA 	Keypress: escape
53.2650 	EXP 	Global key event: shutdown. Calling <function quit_and_save at 0x7f35ebe6e7b8>.
53.2782 	EXP 	window1: mouseVisible = True
7.2248 	WARNING 	psychopy.parallel has been imported but no parallel port driver found. Install either inpout32, inpoutx64 or dlportio
7.2250 	WARNING 	Could not initiate port: 'NoneType' object is not callable
33.9718 	WARNING 	Monitor specification not found. Creating a temporary one...
33.9953 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1920, 1080]. Using actual size
1.9603 	DATA 	Keypress: space
2.9118 	DATA 	Keypress: space
2.9226 	EXP 	unnamed TextStim: text = 'trial 1 / 2'
4.9278 	EXP 	Sound  started
17.1213 	DATA 	Keypress: 3
17.1376 	EXP 	unnamed TextStim: text = 'trial 2 / 2'
19.1430 	EXP 	Sound  started
20.3220 	DATA 	Keypress: escape
20.3221 	EXP 	Global key event: shutdown. Calling <function quit_and_save at 0x000002C00EB41158>.
20.3967 	EXP 	window1: mouseVisible = True
6.6369 	WARNING 	psychopy.parallel has been imported but no parallel port driver found. Install either inpout32, inpoutx64 or dlportio
82.0045 	WARNING 	Monitor specification not found. Creating a temporary one...
82.0162 	WARNING 	User requested fullscreen with size [800 600], but screen is actually [1366, 768]. Using actual size
15.6353 	DATA 	Keypress: space
22.0480 	DATA 	Keypress: space
22.0567 	EXP 	unnamed TextStim: text = 'trial 1 / 2'
24.0611 	EXP 	Sound  started
36.8119 	DATA 	Keypress: 3
36.8283 	EXP 	unnamed TextStim: text = 'trial 2 / 2'
38.8326 	EXP 	Sound  started
51.0607 	DATA 	Keypress: 3
54.4030 	DATA 	Keypress: space
54.4159 	EXP 	unnamed TextStim: text = 'trial 1 / 48'
56.4206 	EXP 	Sound  started
67.2430 	DATA 	Keypress: 2
67.2593 	EXP 	unnamed TextStim: text = 'trial 2 / 48'
69.2640 	EXP 	Sound  started
80.1088 	DATA 	Keypress: 2
80.1249 	EXP 	unnamed TextStim: text = 'trial 3 / 48'
82.1294 	EXP 	Sound  started
93.3574 	DATA 	Keypress: 4
93.3744 	EXP 	unnamed TextStim: text = 'trial 4 / 48'
95.3788 	EXP 	Sound  started
106.3400 	DATA 	Keypress: 4
106.3562 	EXP 	unnamed TextStim: text = 'trial 5 / 48'
108.1601 	DATA 	Keypress: escape
108.1601 	EXP 	Global key event: shutdown. Calling <function quit_and_save at 0x00000293F9CB0158>.
108.2115 	EXP 	window1: mouseVisible = True
