subject,trialCode,code,number,name,rhythm,harmony,condition,block,startTime,response,rt,trigger
asfaewwefaefa,0,0,24,LR7 MH4,low,medium,pleasure,practice,20.22069143994304,2,11.239075599994976,204
asfaewwefaefa,0,0,81,HR7 HH6,high,high,pleasure,practice,33.48007993993815,3,12.372474300005706,202
asfaewwefaefa,86,38,62,HR1 HH5,high,high,pleasure,main,52.87342213994998,0,17.001564499994856,142
asfaewwefaefa,62,14,35,Son Clave MR1 HH5,medium,high,pleasure,main,71.89615743994364,0,17.003877499999362,122
asfaewwefaefa,95,47,79,HR7 HH3,high,high,pleasure,main,90.92048253995017,0,17.004486899997573,145
asfaewwefaefa,64,16,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,109.94519813994702,0,17.00394409999717,124
asfaewwefaefa,76,28,69,HR3 MH4,high,medium,pleasure,main,128.9708747399418,0,17.002907300004154,134
asfaewwefaefa,68,20,35,Son Clave MR1 HH5,medium,high,pleasure,main,147.9951497399452,0,17.003031400003238,122
asfaewwefaefa,90,42,80,HR7 HH5,high,high,pleasure,main,167.01948293994064,0,17.00424209999619,146
asfaewwefaefa,84,36,78,HR7 MH4,high,medium,pleasure,main,186.04450273994007,0,17.00393140000233,136
asfaewwefaefa,60,12,51,Mariato Clave MR5 MH4,medium,medium,pleasure,main,205.07421923994843,0,17.015876199991908,116
asfaewwefaefa,49,1,32,Son Clave MR1 MH2,medium,medium,pleasure,main,224.11180683993734,0,17.00157670000044,111
asfaewwefaefa,96,48,80,HR7 HH5,high,high,pleasure,main,243.13524533994496,0,17.0038121999969,146
asfaewwefaefa,79,31,59,HR1 MH2,high,medium,pleasure,main,262.1594530399452,0,17.003128199998173,131
asfaewwefaefa,89,41,79,HR7 HH3,high,high,pleasure,main,281.1844572399423,0,17.00453540000308,145
asfaewwefaefa,87,39,70,HR3 HH3,high,high,pleasure,main,300.2120068399381,0,17.000831199999084,143
asfaewwefaefa,94,46,71,HR3 HH5,high,high,pleasure,main,319.2336640399444,0,17.003598399998737,144
asfaewwefaefa,75,27,68,HR3 MH2,high,medium,pleasure,main,338.25839833993814,0,17.003543200000422,133
asfaewwefaefa,69,21,43,Rumba Clave MR2 HH3,medium,high,pleasure,main,357.2836054399377,0,17.00342150000506,123
asfaewwefaefa,88,40,71,HR3 HH5,high,high,pleasure,main,376.3066753399471,0,17.005171299999347,144
asfaewwefaefa,91,43,61,HR1 HH3,high,high,pleasure,main,395.33231763994263,0,17.003721999994013,141
asfaewwefaefa,54,6,51,Mariato Clave MR5 MH4,medium,medium,pleasure,main,414.35677743994165,0,17.004139299999224,116
asfaewwefaefa,80,32,60,HR1 MH4,high,medium,pleasure,main,433.3816653399408,0,17.003761100000702,132
asfaewwefaefa,50,2,33,Son Clave MR1 MH4,medium,medium,pleasure,main,452.4061541399424,0,17.004278199994587,112
asfaewwefaefa,55,7,32,Son Clave MR1 MH2,medium,medium,pleasure,main,471.43121743993834,0,17.003499600003124,111
asfaewwefaefa,57,9,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,490.45565603995055,0,17.00371940000332,113
asfaewwefaefa,52,4,42,Rumba Clave MR2 MH4,medium,medium,pleasure,main,519.0181043399498,0,17.011807300004875,114
asfaewwefaefa,51,3,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,538.0508260399511,0,17.00299520000408,113
asfaewwefaefa,56,8,33,Son Clave MR1 MH4,medium,medium,pleasure,main,557.0751518399484,0,17.003669400000945,112
asfaewwefaefa,92,44,62,HR1 HH5,high,high,pleasure,main,576.1003957399371,0,17.003480300001684,142
asfaewwefaefa,72,24,53,Mariato Clave MR5 HH5,medium,high,pleasure,main,595.1240323399397,0,17.00383299999521,126
asfaewwefaefa,63,15,43,Rumba Clave MR2 HH3,medium,high,pleasure,main,614.1493009399419,0,17.00354820000939,123
asfaewwefaefa,70,22,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,633.1748393399466,0,17.003222400002414,124
asfaewwefaefa,85,37,61,HR1 HH3,high,high,pleasure,main,652.1990966399462,0,17.00397360000352,141
asfaewwefaefa,93,45,70,HR3 HH3,high,high,pleasure,main,671.2235673399409,0,17.003065400000196,143
asfaewwefaefa,66,18,53,Mariato Clave MR5 HH5,medium,high,pleasure,main,690.2481292399461,0,17.003757500002393,126
asfaewwefaefa,65,17,52,Mariato Clave MR5 HH3,medium,high,pleasure,main,709.2727010399394,0,17.00399009999819,125
asfaewwefaefa,58,10,42,Rumba Clave MR2 MH4,medium,medium,pleasure,main,728.2977171399398,0,17.003187400012393,114
asfaewwefaefa,78,30,78,HR7 MH4,high,medium,pleasure,main,747.322539739951,0,17.002894899997045,136
asfaewwefaefa,81,33,68,HR3 MH2,high,medium,pleasure,main,766.3464100399433,0,17.00425820000237,133
asfaewwefaefa,61,13,34,Son Clave MR1 HH3,medium,high,pleasure,main,785.3717182399414,0,17.00375790000544,121
asfaewwefaefa,59,11,50,Mariato Clave MR5 MH2,medium,medium,pleasure,main,804.3968807399506,0,17.002981600002386,115
asfaewwefaefa,74,26,60,HR1 MH4,high,medium,pleasure,main,823.4217340399482,0,17.003057199995965,132
asfaewwefaefa,82,34,69,HR3 MH4,high,medium,pleasure,main,842.4457390399475,0,17.00358960000449,134
asfaewwefaefa,73,25,59,HR1 MH2,high,medium,pleasure,main,861.4711053399369,0,17.003645100005087,131
asfaewwefaefa,53,5,50,Mariato Clave MR5 MH2,medium,medium,pleasure,main,880.4965457399376,0,17.001752800002578,115
asfaewwefaefa,77,29,77,HR7 MH2,high,medium,pleasure,main,899.5194839399483,0,17.003864300000714,135
