trial_code,code,number,name,rhythm,harmony,condition,block,trigger
0,0,21,LR7 LH4,low,low,wanting_to_move,practice,201
0,0,81,HR7 HH6,high,high,pleasure,practice,202
0,0,49,Mariato Clave MR5 MH1,medium,medium,wanting_to_move,practice,203
0,0,24,LR7 MH4,low,medium,pleasure,practice,204
1,1,32,Son Clave MR1 MH2,medium,medium,wanting_to_move,main,11
2,2,33,Son Clave MR1 MH4,medium,medium,wanting_to_move,main,12
3,3,41,Rumba Clave MR2 MH2,medium,medium,wanting_to_move,main,13
4,4,42,Rumba Clave MR2 MH4,medium,medium,wanting_to_move,main,14
5,5,50,Mariato Clave MR5 MH2,medium,medium,wanting_to_move,main,15
6,6,51,Mariato Clave MR5 MH4,medium,medium,wanting_to_move,main,16
7,7,32,Son Clave MR1 MH2,medium,medium,wanting_to_move,main,11
8,8,33,Son Clave MR1 MH4,medium,medium,wanting_to_move,main,12
9,9,41,Rumba Clave MR2 MH2,medium,medium,wanting_to_move,main,13
10,10,42,Rumba Clave MR2 MH4,medium,medium,wanting_to_move,main,14
11,11,50,Mariato Clave MR5 MH2,medium,medium,wanting_to_move,main,15
12,12,51,Mariato Clave MR5 MH4,medium,medium,wanting_to_move,main,16
13,13,34,Son Clave MR1 HH3,medium,high,wanting_to_move,main,21
14,14,35,Son Clave MR1 HH5,medium,high,wanting_to_move,main,22
15,15,43,Rumba Clave MR2 HH3,medium,high,wanting_to_move,main,23
16,16,44,Rumba Clave MR2 HH5,medium,high,wanting_to_move,main,24
17,17,52,Mariato Clave MR5 HH3,medium,high,wanting_to_move,main,25
18,18,53,Mariato Clave MR5 HH5,medium,high,wanting_to_move,main,26
19,19,34,Son Clave MR1 HH3,medium,high,wanting_to_move,main,21
20,20,35,Son Clave MR1 HH5,medium,high,wanting_to_move,main,22
21,21,43,Rumba Clave MR2 HH3,medium,high,wanting_to_move,main,23
22,22,44,Rumba Clave MR2 HH5,medium,high,wanting_to_move,main,24
23,23,52,Mariato Clave MR5 HH3,medium,high,wanting_to_move,main,25
24,24,53,Mariato Clave MR5 HH5,medium,high,wanting_to_move,main,26
25,25,59,HR1 MH2,high,medium,wanting_to_move,main,31
26,26,60,HR1 MH4,high,medium,wanting_to_move,main,32
27,27,68,HR3 MH2,high,medium,wanting_to_move,main,33
28,28,69,HR3 MH4,high,medium,wanting_to_move,main,34
29,29,77,HR7 MH2,high,medium,wanting_to_move,main,35
30,30,78,HR7 MH4,high,medium,wanting_to_move,main,36
31,31,59,HR1 MH2,high,medium,wanting_to_move,main,31
32,32,60,HR1 MH4,high,medium,wanting_to_move,main,32
33,33,68,HR3 MH2,high,medium,wanting_to_move,main,33
34,34,69,HR3 MH4,high,medium,wanting_to_move,main,34
35,35,77,HR7 MH2,high,medium,wanting_to_move,main,35
36,36,78,HR7 MH4,high,medium,wanting_to_move,main,36
37,37,61,HR1 HH3,high,high,wanting_to_move,main,41
38,38,62,HR1 HH5,high,high,wanting_to_move,main,42
39,39,70,HR3 HH3,high,high,wanting_to_move,main,43
40,40,71,HR3 HH5,high,high,wanting_to_move,main,44
41,41,79,HR7 HH3,high,high,wanting_to_move,main,45
42,42,80,HR7 HH5,high,high,wanting_to_move,main,46
43,43,61,HR1 HH3,high,high,wanting_to_move,main,41
44,44,62,HR1 HH5,high,high,wanting_to_move,main,42
45,45,70,HR3 HH3,high,high,wanting_to_move,main,43
46,46,71,HR3 HH5,high,high,wanting_to_move,main,44
47,47,79,HR7 HH3,high,high,wanting_to_move,main,45
48,48,80,HR7 HH5,high,high,wanting_to_move,main,46
49,1,32,Son Clave MR1 MH2,medium,medium,pleasure,main,111
50,2,33,Son Clave MR1 MH4,medium,medium,pleasure,main,112
51,3,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,113
52,4,42,Rumba Clave MR2 MH4,medium,medium,pleasure,main,114
53,5,50,Mariato Clave MR5 MH2,medium,medium,pleasure,main,115
54,6,51,Mariato Clave MR5 MH4,medium,medium,pleasure,main,116
55,7,32,Son Clave MR1 MH2,medium,medium,pleasure,main,111
56,8,33,Son Clave MR1 MH4,medium,medium,pleasure,main,112
57,9,41,Rumba Clave MR2 MH2,medium,medium,pleasure,main,113
58,10,42,Rumba Clave MR2 MH4,medium,medium,pleasure,main,114
59,11,50,Mariato Clave MR5 MH2,medium,medium,pleasure,main,115
60,12,51,Mariato Clave MR5 MH4,medium,medium,pleasure,main,116
61,13,34,Son Clave MR1 HH3,medium,high,pleasure,main,121
62,14,35,Son Clave MR1 HH5,medium,high,pleasure,main,122
63,15,43,Rumba Clave MR2 HH3,medium,high,pleasure,main,123
64,16,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,124
65,17,52,Mariato Clave MR5 HH3,medium,high,pleasure,main,125
66,18,53,Mariato Clave MR5 HH5,medium,high,pleasure,main,126
67,19,34,Son Clave MR1 HH3,medium,high,pleasure,main,121
68,20,35,Son Clave MR1 HH5,medium,high,pleasure,main,122
69,21,43,Rumba Clave MR2 HH3,medium,high,pleasure,main,123
70,22,44,Rumba Clave MR2 HH5,medium,high,pleasure,main,124
71,23,52,Mariato Clave MR5 HH3,medium,high,pleasure,main,125
72,24,53,Mariato Clave MR5 HH5,medium,high,pleasure,main,126
73,25,59,HR1 MH2,high,medium,pleasure,main,131
74,26,60,HR1 MH4,high,medium,pleasure,main,132
75,27,68,HR3 MH2,high,medium,pleasure,main,133
76,28,69,HR3 MH4,high,medium,pleasure,main,134
77,29,77,HR7 MH2,high,medium,pleasure,main,135
78,30,78,HR7 MH4,high,medium,pleasure,main,136
79,31,59,HR1 MH2,high,medium,pleasure,main,131
80,32,60,HR1 MH4,high,medium,pleasure,main,132
81,33,68,HR3 MH2,high,medium,pleasure,main,133
82,34,69,HR3 MH4,high,medium,pleasure,main,134
83,35,77,HR7 MH2,high,medium,pleasure,main,135
84,36,78,HR7 MH4,high,medium,pleasure,main,136
85,37,61,HR1 HH3,high,high,pleasure,main,141
86,38,62,HR1 HH5,high,high,pleasure,main,142
87,39,70,HR3 HH3,high,high,pleasure,main,143
88,40,71,HR3 HH5,high,high,pleasure,main,144
89,41,79,HR7 HH3,high,high,pleasure,main,145
90,42,80,HR7 HH5,high,high,pleasure,main,146
91,43,61,HR1 HH3,high,high,pleasure,main,141
92,44,62,HR1 HH5,high,high,pleasure,main,142
93,45,70,HR3 HH3,high,high,pleasure,main,143
94,46,71,HR3 HH5,high,high,pleasure,main,144
95,47,79,HR7 HH3,high,high,pleasure,main,145
96,48,80,HR7 HH5,high,high,pleasure,main,146
